,Mean,25th,50th,75th
215,153.8527837005449,73.0,110.0,181.0
216,153.8907079226687,73.0,110.0,181.0
217,154.01741499822296,73.0,110.0,182.0
218,154.11644663553838,73.0,110.0,182.0
219,159.58715008191467,75.0,116.0,191.0
220,159.73804435579618,75.0,117.0,191.0
221,154.1623966060721,73.0,110.0,182.0
222,153.98912502665434,73.0,110.0,182.0
223,153.9814253222138,73.0,110.0,181.0
224,154.00791356679144,73.0,110.0,181.0
225,154.08461119142987,73.0,110.0,182.0
226,159.40460135808917,75.0,116.0,190.0
227,159.53661142504393,75.0,117.0,190.0
228,154.08183046188117,73.0,110.0,182.0
229,153.83580922595777,73.0,110.0,181.0
230,153.79493922809013,73.0,110.0,181.0
231,153.92358906316636,73.0,110.0,181.0
232,153.9567453545696,73.0,110.0,182.0
233,159.14011347719773,75.0,116.0,190.0
234,159.3366252017852,75.0,116.0,190.0
235,153.82344438652197,73.0,110.0,182.0
236,153.62554784297933,73.0,110.0,181.0
237,153.6420449161376,73.0,110.0,181.0
238,153.8254246523418,73.0,110.0,182.0
239,153.92600843721857,73.0,110.0,183.0
240,158.80554104743365,75.0,116.0,190.0
241,158.8732223831343,75.0,116.0,190.0
242,153.397886155742,73.0,110.0,180.0
243,153.19909019830834,73.0,110.0,180.0
244,153.2079512877011,73.0,110.0,180.0
245,153.2580377662473,73.0,110.0,180.0
246,153.26454487285827,73.0,110.0,180.0
247,158.68443167790332,75.0,116.0,190.0
248,158.7690463189383,75.0,116.0,190.0
249,153.3071873741084,73.0,110.0,180.0
250,153.07915936122825,73.0,110.0,180.0
251,153.06091262319939,73.0,110.0,180.0
252,153.10654630748454,73.0,110.0,180.0
253,153.1031778004218,73.0,110.0,180.0
254,158.4854484166548,75.0,116.0,190.0
255,158.56652818991097,75.0,116.0,190.0
256,153.09715870044315,73.0,110.0,180.0
257,153.03070216999905,73.0,110.0,180.0
258,153.03702738557757,73.0,110.0,180.0
259,153.2361581653202,73.0,110.0,180.0
260,153.25909424840629,73.0,110.0,180.0
261,158.53446802449793,75.0,116.0,190.0
262,158.5319295413541,75.0,116.0,190.0
263,153.18137870565653,73.0,110.0,180.0
264,153.1263150412283,73.0,110.0,180.0
265,153.104376466128,73.0,110.0,180.0
266,153.16328900898338,73.0,110.0,180.0
267,154.36734984343866,73.0,110.0,184.0
268,159.7301753218986,75.0,117.0,192.0
269,159.76368431055784,75.0,117.0,192.0
270,154.00692369706454,73.0,110.0,182.0
271,152.99774934849563,73.0,110.0,180.0
272,152.96202411693633,73.0,110.0,180.0
273,153.02909194285849,73.0,110.0,180.0
274,153.10425799113807,73.0,110.0,180.0
275,158.40365535248043,75.0,115.0,190.0
276,158.6333167177004,75.0,116.0,190.0
277,153.05634937560723,73.0,110.0,180.0
278,153.04148207813128,73.0,110.0,180.0
279,152.98924450972495,73.0,110.0,180.0
280,153.06301824212272,73.0,110.0,180.0
281,153.1251599450263,73.0,110.0,180.0
282,158.50042724899123,75.0,116.0,190.0
283,158.68029907429386,75.0,116.0,190.0
284,153.14026398729828,73.0,110.0,180.0
285,153.02791006231195,73.0,110.0,180.0
286,153.05112895965124,73.0,110.0,180.0
287,153.11793000497596,73.0,110.0,180.0
288,153.28754266211604,73.0,110.0,180.0
289,159.15836083477765,75.0,116.0,190.0
290,160.67635387210987,75.0,117.0,195.0
291,155.05614085041762,73.0,110.0,185.0
292,154.87811706645786,73.0,110.0,185.0
293,155.13868786332898,73.0,110.0,185.0
294,155.36545489060794,74.0,110.0,185.0
295,155.4845989558614,74.0,110.0,185.0
296,161.01069340810798,75.0,117.0,195.0
297,161.23312183645825,75.0,117.0,195.0
298,155.68476506881822,74.0,110.0,185.0
299,156.00794988015852,74.0,110.0,185.0
300,156.88961439832843,74.0,110.0,186.0
301,156.10407272036835,73.0,110.0,185.0
302,154.02088915234143,73.0,110.0,182.0
303,159.0537537394938,75.0,116.0,190.0
304,159.0561306866749,75.0,116.0,190.0
305,153.5670980280622,73.0,110.0,181.0
306,153.3891534579572,73.0,110.0,180.0
307,153.46430094281519,73.0,110.0,180.0
308,153.48377161809998,73.0,110.0,180.0
309,153.60821249170695,73.0,110.0,181.0
310,159.11239794949688,75.0,116.0,190.0
311,159.17658786670464,75.0,116.0,190.0
312,153.63143554386713,73.0,110.0,181.0
313,153.51468637483418,73.0,110.0,180.0
314,153.50284252416145,73.0,110.0,180.0
315,153.57098524151328,73.0,110.0,181.0
316,153.65733917782254,73.0,110.0,181.0
317,159.10535684617759,75.0,116.0,190.0
318,159.23465464039876,75.0,116.0,190.0
319,153.64515211828262,73.0,110.0,181.0
320,153.55119397327775,73.0,110.0,180.0
321,153.49799805728637,73.0,110.0,181.0
322,153.6131867611173,73.0,110.0,181.0
323,153.67026168578744,73.0,110.0,181.0
324,159.19363722697057,75.0,116.0,190.0
